;Aca_cat;Aeq_tet;Ana_sp;Ana_uro;Api_aga;Api_reg;Ast_bim;Bar_ste;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cor_sp;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Ery_ery;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_pet;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Her_sp.;Hop_cur;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_pic;Meg_tho;Mel_dis;Mic_bil;Mic_poe;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_bec;Nan_nit;Nan_tae;Nan_tri;Oto_mur;Par_sp.;Phe_pec;Pim_ger;Pim_sp.;Poe_sp;Pot_eig;Pot_has;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Rin_sp.;Sat_jur;Ser_sp.;Ste_ama;Ste_mac;Syn_mar;Tet_wal
UA012;0;2;0;0;0;59;0;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;11;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;151;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0
UA013;0;26;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;4;7;0;0;2;0;0;0;0;0;0;0;0;0;3;0;547;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0
UA014;0;23;0;0;0;29;0;0;0;10;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;0;11;0;0;0;0;0;0;0;0;0;1;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
UA015;0;3;0;5;0;36;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;14;0;0;0;18;3;11;0;42;0;0;0;0;0;0;0;0;0;0;0;19;0;33;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
UA016;0;3;0;11;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;14;0;0;2;0;0;0;3;0;0;0;15;0;41;0;13;74;0;18;0;0;0;0;0;0;1;0;101;0;72;2;0;0;0;0;1;0;0;1;0;13;0;0;1;0;0;0;13;0;3;0;0;1;0;0;3;16;0;0;0;0;0;0;0;0;1;0;1
UA017;0;0;0;4;0;0;0;0;0;0;0;0;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0
UA018;0;1;0;7;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;6;0;0;0;9;9;27;0;8;2;0;0;0;0;0;0;0;0;0;0;12;0;63;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
UA019;0;4;0;4;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;12;0;0;0;0;0;0;14;0;0;0;11;10;25;0;25;7;0;0;0;0;0;0;0;0;0;0;63;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
UA020;0;3;0;11;0;73;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;22;0;0;0;3;5;0;0;8;0;0;0;0;0;0;0;0;0;0;0;263;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
UA021;0;2;0;2;0;12;0;0;0;0;0;0;27;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;3;0;2;0;23;0;0;0;0;0;0;0;0;0;0;0;121;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
UA022;0;0;0;70;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;23;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26;3;0;0;0;0;0;0;0;0;0;0
UA023;1;2;0;2;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;1;1;0;0;0;0;0;1;0;0;0;5;4;8;0;3;0;0;1;0;0;0;0;0;0;0;0;247;3;35;0;0;1;0;0;0;1;0;7;0;189;0;1;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UA024;0;16;0;1;0;22;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;33;0;0;0;8;7;0;0;15;0;0;0;0;0;0;0;0;0;0;0;120;0;5;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0;0
UA036;0;0;0;12;0;24;0;0;0;1;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0
UA037;0;8;0;1;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;21;0;0;0;8;4;3;0;10;0;0;0;0;0;0;0;0;0;0;0;66;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0
UA038;0;4;0;2;0;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;2;0;10;0;5;7;0;0;0;0;0;0;0;0;0;0;12;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
UA039;0;0;0;2;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;3;5;14;0;5;35;0;0;0;0;0;0;0;0;1;0;15;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
UA040;0;0;0;4;0;54;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;6;2;39;0;12;1;0;0;0;0;0;0;0;0;0;0;31;0;110;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;3;0;0;0;0;0;0;0;14;4;0;0;0;0;0;0;0;0;0;0;0
UA041;0;1;0;1;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;4;10;5;0;14;0;0;0;0;0;0;0;0;0;9;0;0;0;16;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UA042;0;0;0;13;0;25;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;5;0;0;1;9;2;0;0;8;0;0;0;0;0;0;0;0;0;2;0;135;0;0;2;0;0;0;0;0;1;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
UA043;0;2;0;1;0;58;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;0;0;1;0;0;0;4;2;0;0;5;5;44;0;15;3;0;0;0;0;0;0;0;0;0;0;34;2;54;12;0;0;0;6;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
UA044;0;13;0;3;0;27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;10;0;0;0;15;2;0;0;24;0;0;0;0;0;0;0;0;0;2;0;616;0;0;2;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0
UA045;0;50;0;9;0;76;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;7;0;0;0;13;1;31;0;7;0;0;0;0;0;0;0;0;0;0;0;110;0;45;6;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0
UA046;0;5;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;1;0;3;0;0;3;0;0;2;0;0;0;8;3;0;0;8;14;6;0;1;13;0;0;0;0;0;0;0;0;6;0;1;2;10;4;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
UA047;0;0;0;32;0;72;0;1;0;0;3;0;25;1;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;29;0;0;25;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;30;0;0;0;0;0;0;0;0;2;6;4;0;0;0;0;0;0;0;0;0;0
UA048;0;1;0;12;0;56;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;21;0;0;0;0;0;0;0;0;0;0;3;0;0;0;10;9;0;0;12;0;0;0;0;0;0;0;0;0;0;0;81;1;6;3;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0
UA049;0;1;0;6;11;1;0;0;0;0;18;0;2;5;0;0;0;0;0;0;1;0;0;96;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1;0;43;0;0;14;0;0;0;0;0;0;0;2;0;92;0;0;0;0;0;55;0;0;0;0;0;1;0;0;17;7;3;0;0;0;0;0;0;0;0;0;0
UA050;0;6;0;1;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;0;0;0;0;0;20;0;0;0;3;1;5;0;4;0;0;0;0;0;0;0;0;0;0;0;104;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
UA051;0;1;0;1;13;97;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;56;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;4;12;0;2;60;0;7;0;0;0;0;0;0;0;0;324;8;12;1;0;0;0;0;0;0;0;9;0;50;0;4;0;0;0;11;14;0;2;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0
UA052;0;0;0;3;0;67;0;0;0;0;0;0;1;3;0;0;0;0;0;0;30;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;7;11;0;0;0;0;0;0;0;0;0;0;91;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
UA053;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;29;0;0;0;0;0;0;8;0;0;0;6;1;21;0;19;0;0;0;0;0;0;0;0;0;0;0;94;0;37;0;0;0;0;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0
UA054;0;3;0;7;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;4;1;0;0;16;0;0;0;0;0;0;0;0;0;2;0;63;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0
UA055;0;0;0;41;0;1;0;0;0;0;0;0;31;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0
UA056;0;2;0;1;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;1;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
UA057;0;1;0;31;0;10;0;0;0;26;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;4;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0
UA058;0;2;0;2;0;54;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;10;0;0;1;0;0;0;5;3;0;0;4;4;4;0;7;4;0;1;0;0;0;0;0;0;3;0;4;0;40;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
UA059;0;0;0;16;0;37;0;0;0;1;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;5;1;0;0;9;0;0;0;0;0;0;0;0;0;1;0;31;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0
UA060;0;9;0;20;0;41;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;8;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0
UA061;0;2;0;2;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;6;1;0;0;2;4;12;0;5;0;0;0;0;0;0;0;0;0;4;0;7;0;50;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
UA080;0;1;0;0;4;2;0;0;0;0;0;5;19;1;0;0;0;0;0;0;0;0;0;88;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;2;0;0;68;0;0;0;0;0;81;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0
UA081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
UA082;0;11;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;1;0;0;0;0;0;0;0;15;0;0;0;2;0;1;1;17;0;0;4;0;0;0;0;0;0;0;0;33;0;20;0;2;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
UA083;0;0;0;0;0;17;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;10;0;0;0;0;1;0;0;0;0;0;0;7;0;0;1;0;32;1;5;36;0;1;0;0;0;0;0;0;0;1;7;0;10;0;5;0;15;1;0;0;0;14;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
UA084;0;0;0;1;4;0;0;0;0;4;1;0;5;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;27;0;0;0;0;0;5;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;1;0;86;0;0;0;0;0;43;0;0;0;0;0;0;43;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;20;0;0;0;0;0;0;0;0;0;0;0
UA085;0;3;0;0;3;74;0;0;0;3;0;0;1;0;1;0;0;0;0;4;0;0;0;61;0;0;0;0;2;0;0;0;0;0;0;1;20;0;2;0;33;0;2;13;0;17;0;0;0;0;0;0;3;1;183;9;0;0;5;0;3;13;0;0;0;3;0;358;0;0;0;0;0;7;16;0;0;0;0;0;0;0;21;2;0;0;1;2;0;0;0;0;0;0;0
UA086;0;7;0;1;0;108;0;0;0;0;1;7;0;0;2;0;0;0;0;19;0;0;0;52;0;0;2;0;0;0;0;0;0;0;0;1;19;0;0;0;7;0;12;33;0;8;0;0;0;0;0;0;1;0;42;9;14;0;4;0;17;4;0;0;0;0;0;154;0;0;0;0;0;1;9;4;0;0;0;0;0;0;32;5;0;0;1;0;0;0;0;0;0;0;0
UA087;0;1;0;0;1;0;0;0;0;0;1;7;0;0;0;0;0;0;0;16;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;16;0;17;2;1;25;0;0;0;0;0;0;1;0;205;4;25;0;3;0;17;0;0;0;1;0;0;163;0;3;0;0;0;0;12;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
UA088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
UA089;0;1;0;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;11;0;14;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
UA090;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
UA091;0;1;0;0;0;18;12;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;11;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0
UA092;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;23;0;0;0;0;0;0;0;0;0;9;38;0;0;0;0;0;1;0;0;0;0;0
UA093;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;1;1;136;0;0;1;0;0;0;1;0;10;4;0;0;0;0;0;0;0;0;0;15;0;0;0;0;12;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
UA094;0;24;0;0;15;3;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0
UA095;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;86;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;65;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7;0;0;0;0;0
UA096;0;7;0;4;0;39;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;55;0;0;0;2;4;0;0;0;0;0;6;0;0;1;0;0;0;1;0;0;0;6;0;0;0;0;0;0;1;0;114;0;0;3;0;0;0;0;0;0;0;0;0;37;1;0;0;0;0;2;2;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0
UA097;0;2;0;10;2;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;18;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
UA098;0;4;0;26;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;5;0;0;8;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;0;20;12;0;0;0;0;0;0;0;0;0;0;0
UA099;0;7;0;10;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;5;0;8;1;2;0;0;0;0;0;0;0;0;0;0;0;18;0;2;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0
UA100;0;18;0;7;94;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;5;0;0;0;0;0;0;1;0;0;1;0;0;0;2;1;0;0;8;0;0;0;0;0;0;2;0;35;1;0;3;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;41;2;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0
UA101;0;18;0;8;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0
UA102;0;1;1;0;50;10;0;0;0;0;0;0;0;0;0;0;0;3;0;18;0;0;0;8;0;0;0;5;6;0;0;0;0;0;0;0;0;0;4;0;0;0;1;23;0;18;0;0;0;19;0;0;0;0;0;31;0;4;0;0;0;4;0;0;0;23;1;106;0;0;0;0;0;0;6;0;0;0;2;0;0;0;11;24;0;3;0;0;0;0;0;0;0;2;0
UA103;0;5;0;0;7;9;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;6;0;0;0;36;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;1;0;0;0;0;0;0
